local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
snomedct:272470006,Cervical spine projection,EnumSpatialQualifiers,,,272470006,Cervical spine projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272472003,Macro projection,EnumSpatialQualifiers,,,272472003,Macro projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272473008,Outlet projection,EnumSpatialQualifiers,,,272473008,Outlet projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272474002,Swimmer's projection,EnumSpatialQualifiers,,,272474002,Swimmer's projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272475001,Tibial tuberosity projection,EnumSpatialQualifiers,,,272475001,Tibial tuberosity projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272476000,Transthoracic projection,EnumSpatialQualifiers,,,272476000,Transthoracic projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272478004,Transcranial projection,EnumSpatialQualifiers,,,272478004,Transcranial projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272479007,Posteroanterior projection,EnumSpatialQualifiers,,,272479007,Posteroanterior projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272480005,Horizontal projection,EnumSpatialQualifiers,,,272480005,Horizontal projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272481009,Erect projection,EnumSpatialQualifiers,,,272481009,Erect projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272482002,Adduction projection,EnumSpatialQualifiers,,,272482002,Adduction projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272483007,True projection,EnumSpatialQualifiers,,,272483007,True projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272484001,Contralateral projection,EnumSpatialQualifiers,,,272484001,Contralateral projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272485000,Clockface position,EnumSpatialQualifiers,,,272485000,Clockface position,http://snomed.info/id/,LinkML gen-harmony
snomedct:272486004,Trans-direction,EnumSpatialQualifiers,,,272486004,Trans-direction,http://snomed.info/id/,LinkML gen-harmony
snomedct:272487008,Into-structure,EnumSpatialQualifiers,,,272487008,Into-structure,http://snomed.info/id/,LinkML gen-harmony
snomedct:272488003,From-structure,EnumSpatialQualifiers,,,272488003,From-structure,http://snomed.info/id/,LinkML gen-harmony
snomedct:272489006,Via values,EnumSpatialQualifiers,,,272489006,Via values,http://snomed.info/id/,LinkML gen-harmony
snomedct:272496008,Via incision,EnumSpatialQualifiers,,,272496008,Via incision,http://snomed.info/id/,LinkML gen-harmony
snomedct:276749003,Epi-location,EnumSpatialQualifiers,,,276749003,Epi-location,http://snomed.info/id/,LinkML gen-harmony
snomedct:276825009,Overlapping sites,EnumSpatialQualifiers,,,276825009,Overlapping sites,http://snomed.info/id/,LinkML gen-harmony
